Project Title,Project Description,Learning Outcomes for Students,Roles and Responsibilies of Student,Students' pre-requisites,Job Description for Student,Research Institute of Internship Supervisor,Department of Internship Supervisor,Name of Internship Supervisor,Workplace Address,What is the project's research category?,No. of Students Required
Urban Informatics and Urban Big Data and Analytics,"Study of urban science in various social and infomration systems, ranging from renewable energy, urban mobility, and urban environment.","Students will learn the basic concepts in geoinformation (geographical information science, remote sensing, and GeoAI), and how to build dynmaic models to solve geospatial related problems that cannot be easily dealt with using traditional methods.","Study the basic knowledge in computer science, carry out geospatial analysis and simluations, and generate insights.","Background in any of the maths/physics/computing/engineering/geography/social science majors. Knowledge in statistics, programming and data analysis. Knowledge in statistical mechanics and/or deep learning is a plus.","Geographic information system (GIS) is a computer-based tool designed to collect, store, process, analyse, visualise and interpret spatially referenced data. With GIS technology, people can compare the locations of different things in order to discover how they relate to each other. For example, using GIS, a single map could include sites that produce pollution, such as factories, and sites that are sensitive to pollution, such as wetlands and rivers. Such a map would help people determine where water supplies are most at risk. The student will develop comphrehensive capability on geosptial analysis and optimization through the integration of computer science, GIS, remote sensing, and GeoAI technologies.",IHPC,Systems Science,Rui Zhu,"1 Fusionopolis Way, #16-16, Connexis North Tower, Singapore 138632",Computing & Information Sciences,1
Microstructure prediction of materials processed by additive manufacturing,"Additive manufacturing (AM) or “3d printing” has attracted tremendous technological interest given its ability to make complex, non-traditional geometries.  However, the AM process results in microstructure that can be quite different with conventional alloy processes.  Simulation models are therefore desirable to predict and optimize the microstructure, and hence properties of the printed parts.  This project will focus on modelling nucleation (formation) and growth of precipitates from a cellular network of polycrystalline matrix phase during AM. Different mechanisms have been proposed for precipitate nucleation, but the role of grain boundaries with respect to precipitate growth remains unclear.","• Gain an understanding and appreciation of the metallurgical challenges behind metal 3D printing.
•  Gain knowledge of fundamental nucleation and growth theory and its application to a technologically relevant application.
• Opportunity to be part of the team to develop novel models for the 3D printing of metal alloys.",The student will perform computer simulations of precipitate nucleation and growth from a polycrystalline phase in 2D/3D.  He/she will be involved in extending current codes to account for nucleation and growth in the presence of grain boundaries and/or diffusion.  ,"Preferably gone through basic materials science course. 
Prior experience with C++ or Matlab/Octave is desirable though not required. 
Has a passion to learn.
","The student is required to make modifications to an existing code under the guidance of the supervisor.  He/she will run numerical simulations, consolidate results and perform statistical analyses. ",IHPC,Engineering Mechanics,QUEK Siu Sin Jerry,"1 Fusionopolis Way, #16-16 Connexis, Singapore 138632",Engineering & Technology,1
Algorithm Development for Railway Noise Prediction,"Railway noise has been an environmental concern in Singapore. As the transportation network continues to expand and integrate modern rail systems, the impact of railway noise on communities and the environment in Singapore becomes increasingly important to address. This project aims to conduct a comprehensive review of algorithm development methods for railway noise prediction, specifically tailored to the context of Singapore. This study will focus on understanding the algorithms and computational techniques employed in predicting railway noise, as well as provide insights into their applicability in the unique urban landscape of Singapore.","By the end of this project, the student should achieve the following learning outcomes:
Research Skills: Improved ability to collect, organize, and synthesize academic literature related to algorithm development for railway noise prediction.
Critical Thinking: Enhanced critical thinking skills for evaluating the applicability of algorithms in a specific context, such as Singapore.
Technical Skills: Gained proficiency in understanding and analyzing the algorithms used in railway noise prediction.
Problem Solving: Developed problem-solving skills for identifying and proposing solutions to reduce railway noise.
Communication: Improved communication skills through the preparation of a comprehensive review report and a presentation of key findings and recommendations.","- A comprehensive review report on algorithm development for railway noise prediction in the Singaporean context.
- Identification of key algorithmic approaches and their applicability to Singapore.
- Recommendations for the development and implementation of noise prediction algorithms tailored to Singapore.
- A presentation summarizing the key findings and recommendations.","- Preferably has a basic understanding of noise pollution and its impact on the environment.
- Preferably familiar with data analysis and research methodology.
- Preferably proficient in conducting literature reviews and summarizing research findings.
- Preferably has basic knowledge of python programming.","- To review the existing methods and algorithms for railway noise prediction.
- To identify the key factors contributing to railway noise in Singapore.
- To compare the pros and cons of various prediction algorithms and computational techniques.
- To provide recommendations for the development and implementation of noise prediction algorithms.",IHPC,Engineering Mechanics,Linus Ang,"1 Fusionopolis Way, #16-16 Connexis, Singapore 138632",Engineering & Technology,1
New methods for AI-aided generative metamaterials and composites design,"The project aims to explore new methods and capabilities in the field of designing metamaterials and/or 3D woven composites, specifically for potential aerospace applications. Metamaterials, with their engineered properties, offer immense potential in various applications such as aerospace, telecommunications, medical devices, and more. 3D woven composites, with their extraordinary performance in impact and damage tolerance, have been increasingly used in nuclear reactors and in aerospace, including jet engines and spacecraft.

This project seeks to develop a novel approach that harnesses the power of artificial intelligence to expedite the process of generatively designing metamaterials and/or 3D woven composites with specific, tailored properties. The project will be built upon our prior knowledge in inverse design optimization, deep learning neural networks, architectured materials, 3D woven composites, game theory, and programming.

We invite students interested in one of the following topics: AI, design optimization, architectured materials, composites, aerospace engineering, mathematics, and computer science. Training will be provided in these areas to ensure a rewarding learning and development experience for all participants.","1.	Deep Learning Application: Participants will gain a comprehensive understanding of the application of deep learning methodologies in material design, particularly for generative metamaterials and/or 3D woven composites used in aerospace and other industries.
2.	Metamaterials and Composite Materials: Students will develop a strong grasp of the unique properties and applications of metamaterials and/or 3D woven composites, with a focus on their tailored properties and uses in aerospace engineering.
3.	AI-Driven Design Optimization: Students will acquire skills in leveraging artificial intelligence, particularly deep learning, to optimize the design process for metamaterials and/or 3D woven composites. This includes understanding how AI expedites the design, leading to tailored and specific material properties.
4.	Programming and Computational Skills: Through practical implementation, participants will enhance their programming skills, particularly in the application of coding languages in material design, data processing, and analysis.
5.	Critical Thinking, Problem-Solving, and Professional Development for future career development
",Students are expected to play a role in developing and extending new methods for architectured material design,"Students who are interested in pursuing his carreer in Science, Physics, Engineering, and/or Mathematics.
","1. Actively attend one-to-one trainings at least 3 times a week for the first month.
2. Explore the use of different methods for solving the problems customized based on the students' interests and strength. Sufficient guidence will be provided to ensure the students' efficiency and productivity. 
3. Provide a detailed documentation in the form of a professional report. Guidence will be provided.
",IHPC,EM,Wang Zhenpei,"1 Fusionopolis Way, #16-16 Connexis, Singapore 138632",Engineering & Technology,1
Data-driven models for the mechanics of materials,"Processing defects can control the properties of engineering alloys formed through modern methods such as additive manufacturing (AM). Notably, the properties of an AM printed part can depend strongly on its internal distribution of defects. In order to understand how to design robust structures that resist failure, it is important to understand the effects of the statistical distribution of micro- and meso- structures on materials performance. In this project, we will apply a combination of physics based simulation and data science tools to understand deformation in such complex materials","1. Student will learn basic numerical analysis to model the mechanical behavior of inhomogeneous materials
2. Student will learn mechanics concepts such as strength of materials
3. Student will learn statistical analysis and develop skills in tools such as python and Matlab","1. Implement and run python/Matlab codes for random fuse model
2. Implement and run python/Matlab codes for analysis of the model","1. Good knowledge of mechanics and materials properties
2. Experience with programming in python/Matlab and familiarity with statistics/probability theory","1. Literature review
2. Develop a random fuse model to describe the deformation of an inhomogeneous material
3. Apply data science tools to analyze the deformation of the model developed in (2)",IHPC,Engineering Mechanics,Mark Jhon,"1 Fusionopolis Way, #16-16 Connexis, Singapore 138632",Engineering & Technology,1
Inter-floor noise control based on metamaterial design,"The nuisance caused by inter-floor noise is a common issue to buildings. This is especially important for residents of HDB flats as complaints are keeping received. Hence there is an urgent need to study the mechanisms of Inter-floor noise propagation and provide feasible mitigation solutions. The Inter-floor noise can be generated from both structure-borne noise and air-borne noise, though the structure-borne noise is the dominate one. This project aims to study how metamaterials can be used to mitigate the inter-floor noise. The mechanical/structural metamaterials will be used to reduce impact and the corresponding structure-borne noise can be mitigated; while the acoustic metamaterials will be used to reduce air-borne noise. We hypothesis that metamaterials based designs can achieve significant inter-floor noise reduction.","1. Understand how inter-floor noise generation, propagation, and radiation
2. Explore how advanced design can mitigation noise transmission","1. Literature review on inter-floor noise transmision and mitigation
","1. basic knowledge of physics or mechanics
2. design experience","1. Literature review on inter-floor noise
2. literature review on acoustic metamaterials for vibration/noise mitigation",IHPC,Engineering Mechanics,Cui Fangsen,"1 Fusionopolis Way, #16-16 Connexis, Singapore 138632",Engineering & Technology,1
Machine learning and AI for materials informatics,"Materials informatics is an emerging field leveraging data science and AI methods to accelerate the development of new materials, such as lightweight alloys for aerospace applications and nanoparticle catalysts.
The student will help to develop machine learning (ML) models to predict the properties of materials. Material properties (e.g., mechanical properties, catalytic activities) are determined by the arrangements of atoms, so the goal is to construct ML models that map atomic arrangements to properties.",The student will obtain first-hand research experience in the emerging field of materials informatics. The student will develop expertise in constructing machine learning models to predict the properties of materials.,"The student will work closely with computational materials scientists in A*STAR to develop machine learning models to predict the properties of materials. At the end of the internship, the student will provide documented codes and a report detailing his/her research findings so that the project can be incorporated into A*STAR’s in-house platform for accelerated materials development.","Familiarity with Python or a similar programming language, so as to implement standard ML algorithms, such as those in scikit-learn. Familiarity with basic concepts in machine learning is preferred. Background in physical sciences or engineering is preferred, so that the student can better appreciate the datasets and ML models.","The project involves exploratory research. The ML problem is a non-linear regression, but the specific ML methods used will depend on the student's interests and familiarity. The student will be taught sufficient materials science to understand the datasets that we will provide. The focus would be on ML method development and application, including feature engineering. At the end of the internship, the student will provide documented codes and a report detailing his/her research findings so that the project can be incorporated into A*STAR’s in-house platform for accelerated materials development.",IHPC,MSC,Leong Zhidong,"1 Fusionopolis Way, #16-16 Connexis, Singapore 138632",Engineering & Technology,1
Microstructural Engineering for alloy additive manufacturing,"Alloy Additive manufacturing(AM) is adapted in manufacturing sector as tool with potential to build components with targeted properties. This involves correlating process conditions and properties through underlying microstructure. Computational modelling of microstructural evolution is a powerful resource for process optimization. Since, current microstructure simulation tools are computationally intense, In this project, accelerated modelling alternatives would be assessed for rapid virtual AM prototyping towards target microstructure.","The student would gain insight into additive manufacturing process, phase transformation and be exposed to programming tools, numerical techniques, visualization tools, parallel programming","The student would be developing new subroutines, modify existing code, running simulations in high performance computing, collect and analyze results, maintain logs, periodically prepare report updates during meetings. ","Degree or course work undertaken in Materials science, Mechanics, Physics, engineering science.  Motivated towards research and research-oriented tasks. Aptitude in programming, numerical methods required. Basic machine learning knowledge would be desirable. ","Evaluation of reported scientific literature in the context of the specific research objective of the project, developing new computational codes, using existing codes to compile and run towards specific research questions, collecting data, post processing of the data to draw conclusions, submit periodic report",IHPC,MSC,Ramanarayan Hariharaputran,"1 Fusionopolis Way, #16-16, Connexis North Tower, Singapore 138632",Engineering & Technology,1
Computational modelling based Investigation of New age material AlScN for Edge computing and post 5G communications ,"AlScN system has attracted enormous interest recently as it exhibits enhanced piezoelectric and ferroelectric response. These properties vary  with the scandium content in the Al(1-x)ScxN. AlScN is also  CMOS fab compatible and hence holds promise towards realization of new age microelectronics devices for communication and edge computing applications. However, these unique properties are reported for large samples, whereas the niche applications demand reducing the dimension to sub 100 nm thin films to be viable and energy efficient in microelectronic devices. ","The student would gain insight into thin film growth process deployed in device development and be exposed to programming tools, numerical techniques, visualization tools, parallel programming","The student would be developing new subroutines, modify existing code, running simulations in high performance computing, collect and analyze results, maintain logs, periodically prepare report updates during meetings. ","Degree or course work undertaken in Materials science, Mechanics, Physics, engineering science.  Motivated towards research and research-oriented tasks. Aptitude in programming, numerical methods required. Basic machine learning knowledge would be desirable. ","Evaluation of reported scientific literature in the context of the specific research objective of the project, developing new computational codes, using existing codes to compile and run towards specific research questions, collecting data, post processing of the data to draw conclusions, submit periodic report",IHPC,MSC,Ramanarayan Hariharaputran,"1 Fusionopolis Way, #16-16, Connexis North Tower, Singapore 138632",Engineering & Technology,1
Modelling surface modification through ion bombardment ,"Ion bombardment, or ion implantation, is a key technique in semiconductor fabrication,for surface treatment by dopant introduction which result in modifying electrical properties, surface activation resulting in enhanced surface reaction improving adhesion and  surface modification such as etching and deposition.  As semiconductor devices shrink, ion bombardment's precision becomes increasingly critical in maintaining high performance and reliability in the electronics sector. This project aims at gaining insights in underlying physics that goven the ion-surface interaction through atomistic modelling resulting in various surface property modifictions.","The student would gain insight into semiconductor fab processes and be exposed to programming tools, numerical techniques, visualization tools, parallel programming","The student would be developing new subroutines, modify existing code, running simulations in high performance computing, collect and analyze results, maintain logs, periodically prepare report updates during meetings. ","Degree or course work undertaken in Materials science, Mechanics, Physics, engineering science.  Motivated towards research and research-oriented tasks. Aptitude in programming, numerical methods required. Basic machine learning knowledge would be desirable. ","Evaluation of reported scientific literature in the context of the specific research objective of the project, developing new computational codes, using existing codes to compile and run towards specific research questions, collecting data, post processing of the data to draw conclusions, submit periodic report",IHPC,MSC,Ramanarayan Hariharaputran,"1 Fusionopolis Way, #16-16, Connexis North Tower, Singapore 138632",Engineering & Technology,1
Using AI to develop experimental friendly quantum error correcting codes.,"The development of  hardware-compatible and efficient quantum error-correcting codes is a challenging task. Recently, promising quantum low-density parity-check codes were introduced. However, these codes aren't suitable for experiments because they demand high-weight check operators. In this project, we'll employ AI to streamline the creation of quantum error-correcting codes and refine these codes to pinpoint the most experimentally viable option. This endeavor will edge us closer to the goal of achieving fault-tolerant quantum computing.",The student will get exposure to the state of the art quantum computing and error correction,The student will set-up reinformation learning environment for searching experimental fiendly quantum error correcting codesThe student will set-up reinforcement learning environment for searching experimental friendly quantum error correcting codes.,The student should be aware of basics of maachine learning and quantum computing. They should know how to code in PythonThe student should be aware of basics of machine learning and quantum computing. They should know how to code in Python.,The student will read the recent quantum error correction paper on LDPC codes  by IBM team and setup a reinforcement learning library to optimize the codes in the paper.,IHPC,MSC,Bharti Kishor,"Connexis, Level 15, Singapore",Physical Sciences,1
Advancing Quantum Control through Deep Reinforcement Learning,"Quantum computers offer exponential processing speed compared to classical counterparts, with wide-reaching potential applications. Nevertheless, their susceptibility to errors poses a significant challenge. Research shows that skilful low-level control design can mitigate hardware-induced errors. However, conventional quantum control relies heavily on precise physical models, introducing model bias, particularly in noisy intermediate-scale quantum systems. To overcome these limitations, we utilize deep reinforcement learning (DRL) for robust quantum control, free from the constraints of a specific Hamiltonian model. We enhance our DRL models with meticulously designed agents, refined rewards, and effective exploration-exploitation strategies. Employing a two-stage DRL agent training method reduces time and improves accuracy. In addition, our adoption of online learning empowers the DRL agent to adapt continually to dynamic noise sources. The aim of our DRL-based quantum control method is to achieve higher target state fidelity in less time while displaying increased resilience to noise. ","•Proficiency in training DRL agents to produce precise control pulses for high-fidelity quantum gates.
•Comprehensive understanding of quantum computing principles.
•Proficiency in DRL concepts and techniques.
•Hands-on experience in coding and implementing DRL algorithms.","As a research assistant with duties include:
1.Enhancing and fine-tuning the DRL algorithm for optimal performance.
2.Training the DRL agent using either simulated or experimental data.
3.Validating and testing of the DRL agent's functionality.","knowledge in coding (e.g., Python)","1.Grasping the fundamental principles of quantum computing and quantum control.
2.Familiarizing with existing DRL algorithms.
3.Fine-tuning the parameters of the DRL algorithm.
4.Training the DRL agent to perform effectively.
5.Testing the DRL agent.",IHPC,EP,Bai Ping,"1 Fusionopolis Way, #16-16 Connexis, Singapore 138632",Computing & Information Sciences,1
Deep Reinforcement Learning-assisted Automated Design for Photonics,"Traditional methods for designing photonic components are intricate, time-consuming, and demand significant labor. Machine learning has demonstrated that computers possess the capability to scrutinize data and yield valuable insights across various domains. Deep learning, a subset of machine learning, employs artificial neural networks to extract insights from datasets. Reinforcement learning (RL), a subset of deep learning, employs feedback in the form of rewards or scores from an environment to generate enhanced actions. In this project, our objective is to cultivate an RL process that can optimize nanophotonic components, taking into account the imperfections inherent in the fabrication process, and ultimately yield devices with superior performance. We could integrate Large Language Models, such as ChatGPT, into the tool we're developing to improve automation and facilitate knowledge acquisition. ","Photonics/nanophotonics, nanostructures, light manipulation, optimization algorithms, inverse design, deep learning, deep reinforcement learning, LLMs",Conduct the research honestly and uphold the integrity; keep the working place (IHPC) safe ,"Students would possess strong background in Math (and Physics), having the interest in coding/AI using MATLAB/Python","1. literature review
2. study
a. light-matter interaction
b. design of photonics/nanophotonics structures/devices
3. coding
a. open source Meep, FlexCompute
b. deep NN
c. DRL
4. report write-up
5. presentation",IHPC,Electronics & Photonics,Bui Viet Phuong,"1 Fusionopolis Way, #16-16 Connexis North, S138632",Engineering & Technology,1
Development of Simulation Tool to Characterize Light Propagation in Sea Water for Optical Wireless Communication,"Recent developments in optical wireless communication (OWC) have revealed the potential and advantages of optical waves over radiofrequency (RF) and acoustic waves, especially in scenarios involving high-speed, medium-range communication from water to air. Optical waves, specifically in the blue-green window (ranging from 450 nm to 550 nm), exhibit acceptable propagation attenuation in both water and air mediums. Moreover, approximately 90% of optical wave energy can penetrate the water surface when the incident angle is small to medium. OWC facilitates high-speed data transmission through laser or light-emitting diode (LED) technology, offering a compact and cost-effective integration. These appealing attributes render OWC a promising solution for optical wireless communication. To model the trajectory and energy loss of photons emitted from a light source in this context, the Monte Carlo method is frequently employed. In this project, we will develop a modified Monte Carlo tool for simulating the anisotropic transport of visible light in turbid seawater, encompassing air-sea and seafloor boundaries. One of the major challenges in implementing this simulation tool is the consideration of wave action at the sea surface. Different frequency, energy, and direction components of waves introduce random fluctuations to the air-water interface. To provide a more realistic representation of the distribution of wave slopes and amplitudes in the simulation, we aim to incorporate a wave spectrum function that describes the distribution of wave slopes at any given point and time, using a 2D Gram Charlier distribution in conjunction with a Pierson-Moskowitz spectrum.","Optical Wireless Communication, Channel Modeling, Monte Carlo Simulation, Scattering, Absorption, Wave action ",Conduct the research honestly and uphold the integrity; keep the working place (IHPC) safe ,"Students would possess strong background in Math (and Physics), having the interest in coding using MATLAB/Python","1. literature review
2. study
a. OWC, Channel Characteristic
b. Monte Carlo simulation
3. coding
4. report write-up
5. presentation",IHPC,Electronics & Photonics,Bui Viet Phuong,"1 Fusionopolis Way, #16-16 Connexis North, S138632",Engineering & Technology,1
Computational design of high entropy perovskite for optoelectronics,"Lead halide perovskites nanocrystals have been widely studied and applied to optoelectronic devices such as solar cells, lasers, photodetectors, and light-emitting diodes (LED). Doping perovskite in the metal site enhances its radiative rate and allows possible applications in quantum technologies. However, only <10% of the total Pb content can be substituted before structural instability occurs, with the high Pb toxicity limiting potential commercialization of perovskite devices. High entropy alloys (HEA), first proposed in 2004 as an innovative way to maximize configurational entropy to stabilize multicomponent systems, have demonstrated improved structural stability and functional performances. The ideas have been extended to ceramics, oxides and chalcogenide materials used in structural, catalysis and thermoelectric applications. More recently, multi-component substitution in perovskite and double perovskite have been achieved using a mix of isovalent metals, resulting in higher photoluminescence yield and reduced Pb content. The proposed project aims to accelerate the prediction of stable high-entropy phases of perovskite with the vast compositional space using a combination of first-principles density functional theory (DFT) calculations, surrogate models, and machine learning methods.","The student will learn about the cutting edge research in computational material design, and the utilization of emerging materials as a platform for optoelectronics, quantum and sustainability applications. The student will learn about the tools to carry out these reserach such as density functional theory, cluster expansion and machine learning techniques.","The student will perform first-principles density functional theory calculations on many perovskite alloy structures. The student is expected to write/modify scripts to automate the workflow for a large number of calculations. The student is expected to extract and interpret the output of these calculations such as total energies, band structures, density of states and wavefunctions. Depending on the project progress, the student can participate in structure design of the high entropy perovskite or double perovskite, using surrogate models such as cluster expansion.","Condensed Matter Physics or related knowledge, basic programming skill on using bash or python are desirable.","Lead halide perovskites nanocrystals have been widely studied and applied to optoelectronic devices such as solar cells, lasers, photodetectors, and light-emitting diodes (LED). Doping perovskite in the metal site enhances its radiative rate and allows possible applications in quantum technologies. However, only <10% of the total Pb content can be substituted before structural instability occurs, with the high Pb toxicity limiting potential commercialization of perovskite devices. High entropy alloys (HEA), first proposed in 2004 as an innovative way to maximize configurational entropy to stabilize multicomponent systems, have demonstrated improved structural stability and functional performances. The ideas have been extended to ceramics, oxides and chalcogenide materials used in structural, catalysis and thermoelectric applications. More recently, multi-component substitution in perovskite and double perovskite have been achieved using a mix of isovalent metals, resulting in higher photoluminescence yield and reduced Pb content. The proposed project aims to accelerate the prediction of stable high-entropy phases of perovskite with the vast compositional space using a combination of first-principles density functional theory (DFT) calculations, surrogate models, and machine learning methods.",IHPC,MSC,Liu Yun,"1 Fusionopolis Way, #16-16 Connexis, Singapore 138632",Physical Sciences,1
Genome editing enzyme engineering,"The project involves computational design of genome editing enzymes (including CRISPR-Cas), protein engineering, high-throughput functional assays of enzyme variants, and high-throughput sequencing library preparation and analysis.","Students will learn the concepts and designs of genome editing experiments, the foundational methodologies of wet lab (including next-generation sequencing, nanopore sequencing, molecular biology, cell culture), and the analysis of sequence data.","Work with mentor to learn the research techniques, contribute to experimental execution, and document research findings.",B.Sc or equivalent.,"The project involves computational design of genome editing enzymes (including CRISPR-Cas), protein engineering, high-throughput functional assays of enzyme variants, and high-throughput sequencing library preparation and analysis. Student(s) will learn the concepts and designs of genome editing experiments, the foundational methodologies of wet lab (including next-generation sequencing, nanopore sequencing, molecular biology, cell culture), and the analysis of sequence data. Student(s) will work with mentor to learn the research techniques, contribute to experimental execution, and document research findings.",GIS,Laboratory of Synthetic Biology & Genome Editing Therapeutics,Chew Wei Leong,"60 Biopolis Street, Singapore 138672",Biomedical Sciences,1
Physics-Informed ML via Differentiable Physics Models for Inverse Problems,"Inverse modelling is of relevance to many industries, including source/contaminant inference across diverse settings such as chemical dispersion in industrial plants, rotting food detection (ethylene gas dispersion) in Agritech, airborne infectious disease transmission in urban scenarios, and defect detection in non-destructive testing. However, the physics is complex while data (typically obtained via sensors) is scarce, and has uncertainty. Hence, this project will focus on using differentiable physics models to develop physics-informed ML methods to solve such inverse problems, and subsequently, to select optimal sensor/data locations for such inverse problems.","1. Student will acquire experience working with widely used general purpose scripting languages such as Python and Tensorflow.
2. Student should be able to explain how machine learning models such as neural networks work, and be able to write code to implement said techniques. This
should be transferable skills for any future projects the student might be interested in.
3. Student will also learn basics of numerical simulation, including basic finite difference, and be able to modify said models in a differentiable physics framework","1) Literature review
2) Implement and run Python-based numerical simulation of different ODE/PDE-governed engineering systems for inverse modelling
3) Train a neural network for inference of parameters based on simulated data for parametric set of scenarios from (2) 
4) Implement algorithm to optimize sensor placements to minimize inversion error given limited sensor budget and prior on potential distribution of scenarios.","1. Able to read literature and do literature review.
2. Familiar with Python programming.
3. Knowledge of data science and analytics","1) Literature review
2) Implement and run Python-based numerical simulation of different ODE/PDE-governed engineering systems for inverse modelling
3) Train a neural network for inference of parameters based on simulated data for parametric set of scenarios from (2) 
4) Implement algorithm to optimize sensor placements to minimize inversion error given limited sensor budget and prior on potential distribution of scenarios.",CFAR,Fluid Dynamics / CFAR,Ooi Chin Chun,"1 Fusionopolis Way, Connexis North, Singapore 138632",Engineering & Technology,1
Physics-AI Models for Improved Now-casting and Forecasting,"Weather prediction in tropical areas like Singapore is complex, and physics-based models like Numerical Weather Prediction and data-driven methods like Generative AI have been applied for fore-casting and now-casting for different time-scales respectively. We seek to develop a Physics-informed ML approach whereby we utilize physics-based model outputs in synergy with data-driven models to produce more accurate, blended outputs that combine the best of both approaches. Models and methods will be tested on Singapore-specific open-source data and on data from other collaborators.","1. Student will acquire experience working with widely used general purpose scripting languages such as Python and Tensorflow for processing numerical weather prediction outputs and building data-driven AI models.
2. Student will learn how neural networks work, and be able to edit and run such models based on latest literature.
3. Student will learn basics of generative AI, including the implementation of such models.","1) Literature review
2) Implement and run Python code for data-driven now-casting of weather based on satellite and radar images and latest generative AI methods.
3) Implement and run Python code for processing outputs from numerical weather prediction for these systems and benchmarking of results to literature.
4) Implement and test methods to blend outputs and models from both physics-based models and data-driven AI models to improve predictive performance.","1. Able to read literature and do literature review.
2. Familiar with Python programming.
3. Knowledge of data science/engineering.","1) Literature review
2) Implement and run Python code for data-driven now-casting of weather based on satellite and radar images and latest generative AI methods.
3) Implement and run Python code for processing outputs from numerical weather prediction for these systems and benchmarking of results to literature.
4) Implement and test methods to blend outputs and models from both physics-based models and data-driven AI models to improve predictive performance.",CFAR,Fluid Dynamics / CFAR,Ooi Chin Chun,"1 Fusionopolis Way, Connexis North, Singapore 138632",Physical Sciences,1
Microfluidic optical sensing platform based on the optical bound state in the continuum.   ,"This project aims to build an efficient optical sensor for food safety and environmental monitoring based on the concept of bound state in the continuum and the lab-on-chip microfluidic platform. Bound state in the continuum is an exotic physical phenomenon first introduced in quantum mechanics in 1929 and recently used in various optoelectronic applications due to its exceptional capability in light trapping. The developed optical sensor platform can also be potentially used in various bio- and health applications or integrated into internet-of-thing (i.e., iOT) systems.","The student will learn the physics of optical resonance, especially the new concept of bound state in the continuum. He/she will also learn research skills in device fabrication and optical characterisation. After the attachment, the student will have hands-on experience in microfluidic device fabrication and microspectroscopy. ",The role of the student is to fabricate a microfluidic device and integrate resonant nanostructure into that device. He/she will then have to characterise the sensing device with a micro-spectrometer and analyse the data. ,"Students will need to have a basic understanding of optical physics and material sciences. Thus, undergraduates with majors in Physics, Material Science, and Chemistry will be suitable for this job. ","A highly motivated student who has a passion for physical science and medical sensing device development. 
The job scope will include:
 Fabrication of microfluidic chip (i.e., design of the chip architecture, 3D printing, moulding using soft-polymeric materials, building a pumping system for the microfluidic chip); 
Optical characterisation of sensing device (i.e., using microspectrometer); 
Collect various food samples and analyse them using the sensing device. 
Analyse the measurement data using Python or Matlab. 
Writing the scientific finding and report of the project. ",IMRE,AOT,Son Tung Ha ( Tony ),"2 Fusionopolis Way, Innovis, Singapore 138634",Physical Sciences,1
Ultrasensitive hydrogen sensors with thin film optical coatings,"Remote gas sensing, especially hydrogen, is of crucial importance to industries where hydrogen gas is present. Hydrogen is flammable with low ignition energy at concentrations from 4% to 75%. Hydrogen sensors must be able to provide timely response to concentrations significantly lower than the explosive level of 4% to provide adequate warning before an explosion hazard takes place. Furthermore, hydrogen is produced by certain bacteria and hydrogen sensors are used in the food industry and have possible medical applications. In this project, we propose to develop thin film coating based nanophotonic hydrogen sensors to achieve the unmet performance targets set by US Department of Energy. Since the nanostructuring of palladium improves the sensor performance, we introduce a novel method to fabricate scalable palladium nanoporous thin films. This lithography-free nanophotonic cavity exhibits extreme phase singularity at the point-of-darkness due to the presence of an ultrathin absorptive dielectric layer in the cavity. Since the phase-sensitive optical techniques have shown superior sensitivity over traditional spectroscopy-based sensing techniques, we use this extreme phase change to develop ultrasensitive hydrogen sensors. ","Gain hands-on research experience in cutting-edge areas of photonics and sensing, Work in a collaborative and intellectually stimulating research environment and ","Contribute to the design, fabrication, and characterization of thin film coatings. Perform theoretical analysis and modeling of sensor. Analyze data, interpret results, and contribute to scientific publications","Background in fundamental physics, and mathematics. Programming skills, preferably with experience in languages such as Python, 
or MATLAB. Excellent written and verbal communication skills in English","Fabrication, characterization, and optimization of Pd-Au nanoporous thin films. Design of thin-film based hydrogen sensor ",IMRE,AOT,Sreekanth Kandammathe Valiyaveedu,"2 Fusionopolis Way, Innovis, Singapore 138634",Physical Sciences,1
High-performance van der Waals optoelectronic devices,"Van der Waals materials and heterostructures have the potential to revolutionize various optoelectronic devices by offering strong light-matter interactions at quantum limits, wide-range tunability, flexibility etc. This project aims to develop high-performance photodetectors that works in a broad range from far infrared to UV by taking advantage of the quantum degree of freedoms in van der Waal heterostructures. The heterostructures will also be engineered for dynamic control of device operation with electrical stimulus.","Experiementally, the students will be able to use the state-of-the-art techniques to fabricate high-quality heterostrucutres and perform optoelectronic device measurements. Intellectually, students will gain understandings of cutting-edge research in optoelectornics.  ","Fabrication of high-quality van der Waals heterostructures, and optoelectronic characterizations of devices","Background in materials science, or physics, or electronics.","In this project, student will use various methods, such as mechanic exfoliation and electrochemical exfoliation, to produce high-quality 2D materials and their heterostructures. The student will also participate in the characterization of the devices and data analysis",IMRE,AOT,Zhao Meng,"2 Fusinopolis Way, Innovis, Singapore 138634",Physical Sciences,1
